,pipeline,signal,end-to-end,stand-alone
147,arima,A4Benchmark-TS45,243.56454900000003,233.568928
148,arima,A4Benchmark-TS46,653.055253,195.341599
149,arima,A4Benchmark-TS47,283.201429,1525.281024
150,arima,A4Benchmark-TS48,308.786723,245.396258
151,arima,A4Benchmark-TS49,226.359163,684.776906
152,arima,A4Benchmark-TS5,345.65781,284.9597969999999
153,arima,A4Benchmark-TS50,401.063066,1161.9667379999999
154,arima,A4Benchmark-TS51,368.561354,296.80514
155,arima,A4Benchmark-TS52,275.861887,107.082729
156,arima,A4Benchmark-TS53,290.424999,354.3456989999999
157,arima,A4Benchmark-TS54,344.861061,244.80874500000002
158,arima,A4Benchmark-TS55,475.450952,239.047891
159,arima,A4Benchmark-TS56,444.72415099999995,1341.8600580000002
160,arima,A4Benchmark-TS57,335.69298399999997,1389.201174
161,arima,A4Benchmark-TS58,273.563345,647.348021
162,arima,A4Benchmark-TS59,482.65635,343.007085
163,arima,A4Benchmark-TS6,1873.285545,396.307494
164,arima,A4Benchmark-TS60,234.70586200000002,1780.210852
165,arima,A4Benchmark-TS61,274.038539,418.531776
166,arima,A4Benchmark-TS62,318.5401930000001,266.358284
167,arima,A4Benchmark-TS63,387.930563,226.14780999999996
168,arima,A4Benchmark-TS64,374.30595800000003,394.5643359999999
169,arima,A4Benchmark-TS65,302.33081,565.6792
170,arima,A4Benchmark-TS66,367.166697,281.94486800000004
171,arima,A4Benchmark-TS67,355.010964,72.746086
172,arima,A4Benchmark-TS68,686.649642,298.03194199999996
173,arima,A4Benchmark-TS69,339.107794,2770.739544
174,arima,A4Benchmark-TS7,348.347254,382.43662500000005
175,arima,A4Benchmark-TS70,235.820673,282.45127
176,arima,A4Benchmark-TS71,2240.955834,238.410063
177,arima,A4Benchmark-TS72,267.115338,348.207098
178,arima,A4Benchmark-TS73,2069.03081,1470.657741
179,arima,A4Benchmark-TS74,370.372034,1850.351054
180,arima,A4Benchmark-TS75,240.050806,2078.401288
181,arima,A4Benchmark-TS76,837.959522,2163.2077860000004
182,arima,A4Benchmark-TS77,303.190721,3007.9093100000005
183,arima,A4Benchmark-TS78,552.387053,2002.26127
184,arima,A4Benchmark-TS79,789.574157,322.047549
185,arima,A4Benchmark-TS8,434.19042,256.31421800000004
186,arima,A4Benchmark-TS80,305.024504,2653.4987340000002
187,arima,A4Benchmark-TS81,270.460581,248.90704
188,arima,A4Benchmark-TS82,475.508584,284.156152
189,arima,A4Benchmark-TS83,679.52358,1861.139955
190,arima,A4Benchmark-TS84,410.080075,241.518521
191,arima,A4Benchmark-TS85,335.681929,385.309138
192,arima,A4Benchmark-TS86,249.18868700000002,2041.3704989999999
193,arima,A4Benchmark-TS87,290.77466699999997,1743.893681
194,arima,A4Benchmark-TS88,2024.7986460000002,289.42600000000004
195,arima,A4Benchmark-TS89,754.111833,721.3907940000001
196,arima,A4Benchmark-TS9,311.222588,1864.7161039999999
197,arima,A4Benchmark-TS90,193.43921699999999,258.331954
198,arima,A4Benchmark-TS91,817.653768,635.5860049999999
199,arima,A4Benchmark-TS92,293.109396,421.54718099999997
200,arima,A4Benchmark-TS93,307.560878,353.74601
201,arima,A4Benchmark-TS94,277.069731,280.7539269999999
202,arima,A4Benchmark-TS95,1955.5634059999998,231.69985999999997
203,arima,A4Benchmark-TS96,288.759497,2950.6659149999996
204,arima,A4Benchmark-TS97,175.45535700000005,959.9457029999999
205,arima,A4Benchmark-TS98,2054.018566,195.42981500000002
206,arima,A4Benchmark-TS99,466.823073,245.832776
207,arima,C-1,538.747022,193.023929
208,arima,C-2,961.080443,2023.75091
209,arima,D-1,2042.1994399999999,192.06098
210,arima,D-15,331.872506,353.118713
211,arima,D-3,7126.23502,415.10975800000006
212,arima,D-5,2773.2228579999996,301.126876
213,arima,D-6,6662.4021729999995,2043.906989
214,arima,E-1,4441.285565,417.125897
215,arima,E-10,1152.947727,341.744822
216,arima,E-11,1524.178289,343.15396599999997
217,arima,E-12,1484.364763,399.71308
218,arima,E-13,2022.521416,217.41511200000002
219,arima,E-2,2079.2996789999997,282.500365
220,arima,E-4,4101.066344,230.343108
221,arima,E-5,1661.260763,464.30304499999994
222,arima,E-6,1862.967057,213.04404899999997
223,arima,E-7,3358.840082,1024.152051
224,arima,E-9,1344.762278,360.72589100000005
225,arima,F-1,1970.8209329999997,218.13631700000005
226,arima,F-2,1747.32093,307.22191899999996
227,arima,F-3,12490.567303,674.6972979999999
228,arima,F-4,968.0452439999999,2243.492486
229,arima,F-5,1165.931766,446.20034
230,arima,F-7,2247.867198,303.1008890000001
231,arima,F-8,777.029058,530.732355
232,arima,G-1,1851.703575,271.89460499999996
233,arima,G-4,1564.079349,1530.142461
234,arima,G-6,12268.432575,796.174518
235,arima,M-1,421.47598899999997,289.143335
236,arima,M-2,2376.963048,521.653823
237,arima,M-3,457.319311,265.376093
238,arima,M-4,371.866895,449.431463
239,arima,M-5,451.22070599999995,1956.904176
240,arima,P-1,3010.853067,336.016045
241,arima,P-10,1323.909545,368.7063070000001
242,arima,P-11,626.341766,269.79431900000003
243,arima,P-14,901.911541,223.995599
244,arima,P-15,947.2554769999999,336.61466299999995
245,arima,P-3,1949.770057,2445.5872069999996
246,arima,P-7,1593.129087,347.562095
247,arima,S-1,2958.56882,1501.5082129999998
248,arima,T-1,2814.325796,284.169331
249,arima,T-12,1389.827268,331.236692
250,arima,T-13,2424.227431,4431.777979000001
251,arima,T-2,3719.546579,396.47587400000003
252,arima,T-3,1414.479906,469.66691799999995
253,arima,T-4,288.751226,375.30623199999997
254,arima,T-9,320.62820899999997,2583.184375
255,arima,TravelTime_387,2454.659424,1936.5831900000003
256,arima,TravelTime_451,2966.114405000001,196.584878
257,arima,Twitter_volume_AAPL,2654.510459,2018.7194909999998
258,arima,Twitter_volume_AMZN,2446.539634,261.768125
259,arima,Twitter_volume_CRM,2822.339475,321.561605
260,arima,Twitter_volume_CVS,2175.249628,236.191263
261,arima,Twitter_volume_FB,2584.821953,233.08611999999997
262,arima,Twitter_volume_GOOG,1959.724256,300.113088
263,arima,Twitter_volume_IBM,1945.8454390000002,416.402508
264,arima,Twitter_volume_KO,2164.430233,1916.6033569999997
265,arima,Twitter_volume_PFE,2113.4200260000002,272.51641400000005
266,arima,Twitter_volume_UPS,1939.121446,207.67548499999998
267,arima,art_daily_flatmiddle,264.92758100000003,1413.426503
268,arima,art_daily_jumpsdown,463.32580700000005,265.700792
269,arima,art_daily_jumpsup,427.298721,156.632835
270,arima,art_daily_nojump,403.629457,200.43167899999997
271,arima,art_increase_spike_density,289.73005,309.116711
272,arima,art_load_balancer_spikes,212.98352400000002,452.24567699999994
273,arima,ec2_cpu_utilization_24ae8d,427.958434,313.09269000000006
274,arima,ec2_cpu_utilization_53ea38,299.406135,957.828918
275,arima,ec2_cpu_utilization_5f5533,533.701286,341.611241
276,arima,ec2_cpu_utilization_77c1ca,440.476839,482.32847100000004
277,arima,ec2_cpu_utilization_825cc2,604.301324,296.7573969999999
278,arima,ec2_cpu_utilization_ac20cd,508.307792,2173.142495
279,arima,ec2_cpu_utilization_c6585a,423.356311,278.04576299999997
280,arima,ec2_cpu_utilization_fe7f93,1929.49368,420.789267
281,arima,ec2_disk_write_bytes_1ef3de,353.710824,408.33826999999997
282,arima,ec2_disk_write_bytes_c0d644,1882.6833760000002,1628.2969199999998
283,arima,ec2_network_in_257a54,686.8581230000002,203.89171
284,arima,ec2_network_in_5abac7,572.310411,403.95520700000003
285,arima,elb_request_count_8c0756,354.504455,1094.8742839999998
286,arima,exchange-2_cpc_results,222.967244,220.49805299999997
287,arima,exchange-2_cpm_results,638.6540610000002,520.911246
288,arima,exchange-3_cpc_results,315.799702,243.53280700000005
289,arima,exchange-3_cpm_results,801.848376,366.434172
290,arima,exchange-4_cpm_results,574.2624959999997,311.654475
291,arima,grok_asg_anomaly,1127.095681,316.351896
292,arima,iio_us-east-1_i-a2eb1cd9_NetworkIn,75.07775699999998,372.509862
293,arima,rds_cpu_utilization_cc0c53,551.426147,436.43123499999996
294,arima,rds_cpu_utilization_e47b3b,586.168192,146.000177
295,arima,real_1,281.721525,184.79727699999998
296,arima,real_10,1569.485322,433.37359399999997
297,arima,real_11,1008.2389929999999,465.59400800000003
298,arima,real_12,430.716614,2211.8372809999996
299,arima,real_13,1499.928136,288.50854999999996
300,arima,real_14,582.13919,352.16929
301,arima,real_15,409.570636,771.561479
302,arima,real_16,305.964784,199.698393
303,arima,real_17,680.9711599999998,245.68989299999998
304,arima,real_18,233.596958,370.837636
305,arima,real_19,278.77741299999997,270.161289
306,arima,real_2,375.455758,258.9577959999999
307,arima,real_20,272.864441,1942.177387
308,arima,real_21,279.221681,219.184049
309,arima,real_22,498.416076,685.0718929999999
310,arima,real_23,248.285657,382.950118
311,arima,real_24,197.990433,271.031868
312,arima,real_25,2362.691135,330.86676000000006
313,arima,real_26,401.162623,2108.363585
314,arima,real_27,673.4513410000002,297.4354360000001
315,arima,real_28,272.23225299999996,242.97318700000002
316,arima,real_29,272.828013,180.501849
317,arima,real_3,397.963208,361.2690089999999
318,arima,real_30,362.643142,261.36557400000004
319,arima,real_31,397.29328399999997,474.761462
320,arima,real_32,227.635009,408.767673
321,arima,real_33,2271.268072,253.541515
322,arima,real_34,1593.5381810000001,450.470206
323,arima,real_35,270.18855099999996,6734.286417
324,arima,real_36,214.717123,272.809099
325,arima,real_37,265.907077,211.972569
326,arima,real_38,306.085351,358.1589249999999
327,arima,real_39,273.53694,2962.119994
328,arima,real_4,478.961896,518.9928170000001
329,arima,real_40,416.169121,334.731122
330,arima,real_41,310.878996,833.383006
331,arima,real_42,272.98742999999996,193.335854
332,arima,real_43,217.524997,1619.202781
333,arima,real_44,260.874733,748.3097600000001
334,arima,real_45,290.362721,1150.879301
335,arima,real_46,202.179319,289.65090499999997
336,arima,real_47,1565.442535,268.34391999999997
337,arima,real_48,413.511749,312.590663
338,arima,real_49,197.114546,1122.0758429999998
339,arima,real_5,540.657858,1970.185804
340,arima,real_50,290.470058,899.761838
341,arima,real_51,312.051071,1657.889199
342,arima,real_52,312.27660299999997,12267.954852
343,arima,real_53,235.600591,2032.77116
344,arima,real_54,108.437707,304.760949
345,arima,real_55,197.69581100000002,1602.907786
346,arima,real_56,384.118988,422.85506499999997
347,arima,real_57,1815.6447679999999,235.680695
348,arima,real_58,690.698121,246.627569
349,arima,real_59,256.866478,306.826253
350,arima,real_6,368.499007,1833.984493
351,arima,real_60,187.228717,266.25198
352,arima,real_61,221.084362,349.827793
353,arima,real_62,283.18823,370.27407199999993
354,arima,real_63,371.410401,384.639708
355,arima,real_64,309.443506,290.069478
356,arima,real_65,387.891442,2026.832063
357,arima,real_66,257.989359,1565.448413
358,arima,real_67,522.751992,941.2412049999999
359,arima,real_7,298.560127,1552.109693
360,arima,real_8,302.243678,282.339529
361,arima,real_9,419.56968,369.50106500000004
