dataset,pipeline,signal,iteration,f1,recall,precision,tn,fp,fn,tp,status,elapsed,split,run_id
realAWSCloudwatch,lstm_autoencoder,grok_asg_anomaly,0,0.5,0.3333333333333333,1.0,,0,2,1,OK,884.968676,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,iio_us-east-1_i-a2eb1cd9_NetworkIn,0,1.0,1.0,1.0,,0,0,2,OK,840.6196789999997,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,rds_cpu_utilization_cc0c53,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1200.41867,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,rds_cpu_utilization_e47b3b,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,1210.9393400000001,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_cpu_utilization_24ae8d,0,0.2857142857142857,1.0,0.16666666666666666,,10,0,2,OK,396.542356,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_cpu_utilization_53ea38,0,1.0,1.0,1.0,,0,0,2,OK,486.320006,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_cpu_utilization_5f5533,0,1.0,1.0,1.0,,0,0,2,OK,405.19782599999996,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_cpu_utilization_77c1ca,0,1.0,1.0,1.0,,0,0,1,OK,733.088916,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_cpu_utilization_825cc2,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,375.061374,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_cpu_utilization_ac20cd,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,450.985755,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_cpu_utilization_c6585a,0,,,0.0,,12,0,0,OK,545.042552,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_cpu_utilization_fe7f93,0,0.5,0.3333333333333333,1.0,,0,2,1,OK,627.139711,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_disk_write_bytes_1ef3de,0,1.0,1.0,1.0,,0,0,1,OK,636.0747309999998,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_disk_write_bytes_c0d644,0,0.4,0.3333333333333333,0.5,,1,2,1,OK,447.28221500000006,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_network_in_257a54,0,0.4,1.0,0.25,,3,0,1,OK,404.10155499999996,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,ec2_network_in_5abac7,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,455.47528,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,elb_request_count_8c0756,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,868.431859,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,grok_asg_anomaly,0,0.5,0.3333333333333333,1.0,,0,2,1,OK,422.39658499999996,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,iio_us-east-1_i-a2eb1cd9_NetworkIn,0,,0.0,,,0,2,0,OK,360.82782599999996,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,rds_cpu_utilization_cc0c53,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,470.665627,False,7352502d-5
realAWSCloudwatch,lstm_dynamic_threshold,rds_cpu_utilization_e47b3b,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,394.753064,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_cpu_utilization_24ae8d,0,0.5,0.5,0.5,,1,1,1,OK,12728.02344,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_cpu_utilization_53ea38,0,0.6666666666666666,1.0,0.5,,2,0,2,OK,11405.188456999998,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_cpu_utilization_5f5533,0,1.0,1.0,1.0,,0,0,2,OK,8666.352136,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_cpu_utilization_77c1ca,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,9095.737547,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_cpu_utilization_825cc2,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,3913.7631460000002,False,934e090f-3
realAWSCloudwatch,tadgan,ec2_cpu_utilization_ac20cd,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,9387.282859,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_cpu_utilization_c6585a,0,,,,,0,0,0,OK,9001.817461,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_cpu_utilization_fe7f93,0,0.4,0.3333333333333333,0.5,,1,2,1,OK,8399.467725,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_disk_write_bytes_1ef3de,0,1.0,1.0,1.0,,0,0,1,OK,14370.202372999998,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_disk_write_bytes_c0d644,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,2,2,1,OK,8812.216742,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_network_in_257a54,0,1.0,1.0,1.0,,0,0,1,OK,8799.867561,False,7352502d-5
realAWSCloudwatch,tadgan,ec2_network_in_5abac7,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,11567.079503,False,7352502d-5
realAWSCloudwatch,tadgan,elb_request_count_8c0756,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,9969.149551,False,7352502d-5
realAWSCloudwatch,tadgan,grok_asg_anomaly,0,0.4,0.3333333333333333,0.5,,1,2,1,OK,12443.445149,False,7352502d-5
realAWSCloudwatch,tadgan,iio_us-east-1_i-a2eb1cd9_NetworkIn,0,1.0,1.0,1.0,,0,0,2,OK,5537.979026,False,7352502d-5
realAWSCloudwatch,tadgan,rds_cpu_utilization_cc0c53,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,6678.0308479999985,False,934e090f-3
realAWSCloudwatch,tadgan,rds_cpu_utilization_e47b3b,0,0.0,0.0,0.0,,0,2,0,ERROR,12692.912593000001,False,7352502d-5
realAdExchange,dense_autoencoder,exchange-2_cpc_results,0,,0.0,0.0,,1,1,0,OK,2117.134707,False,7352502d-5
realAdExchange,dense_autoencoder,exchange-2_cpm_results,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1281.2970269999996,False,7352502d-5
realAdExchange,dense_autoencoder,exchange-3_cpc_results,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,1052.190792,False,7352502d-5
realAdExchange,dense_autoencoder,exchange-3_cpm_results,0,1.0,1.0,1.0,,0,0,1,OK,902.6414980000001,False,934e090f-3
realAdExchange,dense_autoencoder,exchange-4_cpm_results,0,0.5714285714285715,0.5,0.6666666666666666,,1,2,2,OK,1085.896958,False,7352502d-5
realAdExchange,lstm_autoencoder,exchange-2_cpc_results,0,,0.0,0.0,,1,1,0,OK,1150.080365,False,934e090f-3
